company_id,cluster_id,cluster_name,distance_from_centroid
ABB,2,Stable Performers,0.8627
ADANIENSOL,2,Stable Performers,1.4469
ADANIENT,0,Emerging Growth,1.7327
ADANIGREEN,3,Financial Leaders,2.0147
ADANIPORTS,2,Stable Performers,1.0544
ADANIPOWER,2,Stable Performers,1.6387
AMBUJACEM,2,Stable Performers,1.0398
APOLLOHOSP,2,Stable Performers,0.6735
ASIANPAINT,2,Stable Performers,0.6587
AXISBANK,3,Financial Leaders,1.5173
BAJAJ-AUTO,2,Stable Performers,0.7622
BAJAJFINSV,3,Financial Leaders,1.2982
BAJAJHLDNG,3,Financial Leaders,2.7489
BAJFINANCE,3,Financial Leaders,1.1001
BANKBARODA,3,Financial Leaders,2.045
BEL,1,High-Quality Compounders,0.8684
BHARTIARTL,0,Emerging Growth,1.7073
BHEL,2,Stable Performers,2.5288
BOSCHLTD,2,Stable Performers,0.8851
BPCL,2,Stable Performers,0.9933
BRITANNIA,1,High-Quality Compounders,1.7932
CANBK,4,Distressed / Turnaround,2.4463
CHOLAFIN,3,Financial Leaders,0.3824
CIPLA,0,Emerging Growth,3.0644
COALINDIA,2,Stable Performers,2.0523
DABUR,2,Stable Performers,0.7569
DIVISLAB,2,Stable Performers,0.734
DLF,2,Stable Performers,2.3998
DMART,2,Stable Performers,1.6057
DRREDDY,2,Stable Performers,0.9013
EICHERMOT,2,Stable Performers,0.3431
GAIL,2,Stable Performers,0.5548
GODREJCP,2,Stable Performers,1.5417
GRASIM,2,Stable Performers,0.5367
HAL,1,High-Quality Compounders,0.9316
HAVELLS,2,Stable Performers,0.7869
HCLTECH,2,Stable Performers,0.5236
HDFCBANK,4,Distressed / Turnaround,0.7411
HDFCLIFE,2,Stable Performers,2.2212
HEROMOTOCO,2,Stable Performers,2.0019
HINDALCO,2,Stable Performers,1.6082
HINDUNILVR,2,Stable Performers,1.5794
ICICIBANK,4,Distressed / Turnaround,0.5973
ICICIGI,2,Stable Performers,1.698
ICICIPRULI,4,Distressed / Turnaround,2.6844
INDIGO,1,High-Quality Compounders,2.0614
INDUSINDBK,3,Financial Leaders,0.8049
INFY,2,Stable Performers,0.6016
IOC,2,Stable Performers,1.2856
IRCTC,2,Stable Performers,1.3743
IRFC,3,Financial Leaders,0.7185
ITC,2,Stable Performers,0.7571
JINDALSTEL,2,Stable Performers,1.5104
JIOFIN,2,Stable Performers,1.7096
JSWENERGY,2,Stable Performers,1.2771
JSWSTEEL,2,Stable Performers,0.7725
KOTAKBANK,4,Distressed / Turnaround,1.4199
LICI,2,Stable Performers,2.2012
LODHA,0,Emerging Growth,1.8322
LT,1,High-Quality Compounders,0.8176
LTIM,2,Stable Performers,2.6372
M&M,2,Stable Performers,0.8822
MARUTI,2,Stable Performers,0.4756
MOTHERSON,2,Stable Performers,0.7142
NAUKRI,2,Stable Performers,1.1388
NESTLEIND,1,High-Quality Compounders,1.1268
NHPC,2,Stable Performers,1.6441
NTPC,2,Stable Performers,0.4971
ONGC,2,Stable Performers,0.6845
PFC,3,Financial Leaders,2.0277
PIDILITIND,2,Stable Performers,0.4905
PNB,1,High-Quality Compounders,1.9809
POWERGRID,2,Stable Performers,1.7292
RECLTD,3,Financial Leaders,1.0313
RELIANCE,2,Stable Performers,1.161
SBILIFE,2,Stable Performers,1.93
SHREECEM,2,Stable Performers,0.5796
SHRIRAMFIN,2,Stable Performers,1.5265
SIEMENS,2,Stable Performers,1.2635
SUNPHARMA,2,Stable Performers,0.9666
TATACONSUM,2,Stable Performers,1.4971
TATAMOTORS,2,Stable Performers,1.1551
TATAPOWER,2,Stable Performers,0.8415
TATASTEEL,0,Emerging Growth,1.3251
TCS,2,Stable Performers,1.5192
TECHM,2,Stable Performers,0.834
TITAN,2,Stable Performers,1.7369
TORNTPHARM,2,Stable Performers,0.6781
TRENT,2,Stable Performers,3.6562
TVSMOTOR,2,Stable Performers,1.2811
ULTRACEMCO,2,Stable Performers,0.9127
UNIONBANK,4,Distressed / Turnaround,2.7054
